use_rep,NASW,method,seed,sample
Banksy_emb_seed1,0.5141518500943979,Banksy,seed1,3
Banksy_emb_seed1,0.549552192290624,Banksy,seed1,2
Banksy_emb_seed1,0.4665093231014907,Banksy,seed1,4
Banksy_emb_seed1,0.5590963670983911,Banksy,seed1,1
Banksy_emb_seed1,0.523433018475771,Banksy,seed1,5
Banksy_emb_seed2,0.4665094319110115,Banksy,seed2,4
Banksy_emb_seed2,0.5234328812609116,Banksy,seed2,5
Banksy_emb_seed2,0.5141517135004202,Banksy,seed2,3
Banksy_emb_seed2,0.5590969830130538,Banksy,seed2,1
Banksy_emb_seed2,0.5495516856511434,Banksy,seed2,2
Banksy_emb_seed3,0.4665094718026618,Banksy,seed3,4
Banksy_emb_seed3,0.5234329644590616,Banksy,seed3,5
Banksy_emb_seed3,0.514151624093453,Banksy,seed3,3
Banksy_emb_seed3,0.5590971043954293,Banksy,seed3,1
Banksy_emb_seed3,0.5495517334590355,Banksy,seed3,2
Banksy_emb_seed4,0.5234331159542004,Banksy,seed4,5
Banksy_emb_seed4,0.4665093182896574,Banksy,seed4,4
Banksy_emb_seed4,0.5141522648433844,Banksy,seed4,3
Banksy_emb_seed4,0.5495520221690336,Banksy,seed4,2
Banksy_emb_seed4,0.5590968430042267,Banksy,seed4,1
Banksy_emb_seed5,0.523433223987619,Banksy,seed5,5
Banksy_emb_seed5,0.5495519594599804,Banksy,seed5,2
Banksy_emb_seed5,0.5141518426438173,Banksy,seed5,3
Banksy_emb_seed5,0.4665096768488486,Banksy,seed5,4
Banksy_emb_seed5,0.5590984082470337,Banksy,seed5,1
GraphST_emb_seed1,0.4968323674984276,GraphST,seed1,4
GraphST_emb_seed1,0.5075138346292078,GraphST,seed1,5
GraphST_emb_seed1,0.4934221487492323,GraphST,seed1,3
GraphST_emb_seed1,0.5068972099882861,GraphST,seed1,1
GraphST_emb_seed1,0.5017205549714466,GraphST,seed1,2
GraphST_emb_seed2,0.4963500307252009,GraphST,seed2,2
GraphST_emb_seed2,0.4901198195293546,GraphST,seed2,3
GraphST_emb_seed2,0.5078101192290584,GraphST,seed2,1
GraphST_emb_seed2,0.4948986088857054,GraphST,seed2,4
GraphST_emb_seed2,0.5095874750986695,GraphST,seed2,5
GraphST_emb_seed3,0.4815450548970451,GraphST,seed3,3
GraphST_emb_seed3,0.5016181846925368,GraphST,seed3,4
GraphST_emb_seed3,0.5017947992746485,GraphST,seed3,1
GraphST_emb_seed3,0.4948202716186642,GraphST,seed3,2
GraphST_emb_seed3,0.5097828096477315,GraphST,seed3,5
GraphST_emb_seed4,0.5012246666786572,GraphST,seed4,2
GraphST_emb_seed4,0.4989388305693865,GraphST,seed4,4
GraphST_emb_seed4,0.5087748312701782,GraphST,seed4,5
GraphST_emb_seed4,0.503829970723018,GraphST,seed4,1
GraphST_emb_seed4,0.490759330180784,GraphST,seed4,3
GraphST_emb_seed5,0.497668713486443,GraphST,seed5,4
GraphST_emb_seed5,0.5091274265820781,GraphST,seed5,5
GraphST_emb_seed5,0.492116702410082,GraphST,seed5,3
GraphST_emb_seed5,0.4923183109300832,GraphST,seed5,2
GraphST_emb_seed5,0.509623083130767,GraphST,seed5,1
Our_emb_seed1,0.575002133846283,Glimmer,seed1,1
Our_emb_seed1,0.5633552384873232,Glimmer,seed1,2
Our_emb_seed1,0.5307698898517023,Glimmer,seed1,3
Our_emb_seed1,0.5180072773558398,Glimmer,seed1,5
Our_emb_seed1,0.5157261150112996,Glimmer,seed1,4
Our_emb_seed2,0.590285866210858,Glimmer,seed2,2
Our_emb_seed2,0.5307207779430124,Glimmer,seed2,3
Our_emb_seed2,0.5749906500180563,Glimmer,seed2,1
Our_emb_seed2,0.5179804937215522,Glimmer,seed2,5
Our_emb_seed2,0.5157675231651714,Glimmer,seed2,4
Our_emb_seed3,0.530692360177151,Glimmer,seed3,3
Our_emb_seed3,0.5157369528509056,Glimmer,seed3,4
Our_emb_seed3,0.5749982545773188,Glimmer,seed3,1
Our_emb_seed3,0.5179725122482827,Glimmer,seed3,5
Our_emb_seed3,0.5902292877435684,Glimmer,seed3,2
Our_emb_seed4,0.5307321353078199,Glimmer,seed4,3
Our_emb_seed4,0.57499352718393,Glimmer,seed4,1
Our_emb_seed4,0.5902463992436727,Glimmer,seed4,2
Our_emb_seed4,0.5179995078748713,Glimmer,seed4,5
Our_emb_seed4,0.5157596825544412,Glimmer,seed4,4
Our_emb_seed5,0.5179695276698718,Glimmer,seed5,5
Our_emb_seed5,0.5749979342023531,Glimmer,seed5,1
Our_emb_seed5,0.5157308893588682,Glimmer,seed5,4
Our_emb_seed5,0.5903314724564552,Glimmer,seed5,2
Our_emb_seed5,0.5307580474109272,Glimmer,seed5,3
SCANIT_emb_seed1,0.5916278523703417,SCANIT,seed1,1
SCANIT_emb_seed1,0.580784103522698,SCANIT,seed1,2
SCANIT_emb_seed1,0.5750791598111391,SCANIT,seed1,3
SCANIT_emb_seed1,0.5844672576834758,SCANIT,seed1,4
SCANIT_emb_seed1,0.5530152302235365,SCANIT,seed1,5
SCANIT_emb_seed2,0.5438680647930596,SCANIT,seed2,5
SCANIT_emb_seed2,0.5700878603383899,SCANIT,seed2,3
SCANIT_emb_seed2,0.575589969754219,SCANIT,seed2,2
SCANIT_emb_seed2,0.5877860523760319,SCANIT,seed2,1
SCANIT_emb_seed2,0.5590591243623445,SCANIT,seed2,4
SCANIT_emb_seed3,0.5631917466719946,SCANIT,seed3,2
SCANIT_emb_seed3,0.5686090004940828,SCANIT,seed3,1
SCANIT_emb_seed3,0.5489939181134105,SCANIT,seed3,5
SCANIT_emb_seed3,0.5590686326225599,SCANIT,seed3,3
SCANIT_emb_seed3,0.5634492710232735,SCANIT,seed3,4
SCANIT_emb_seed4,0.5424911042985817,SCANIT,seed4,5
SCANIT_emb_seed4,0.5629817593532304,SCANIT,seed4,3
SCANIT_emb_seed4,0.5575740879091123,SCANIT,seed4,4
SCANIT_emb_seed4,0.5612543678532044,SCANIT,seed4,2
SCANIT_emb_seed4,0.5804594829678535,SCANIT,seed4,1
SCANIT_emb_seed5,0.5753368337949117,SCANIT,seed5,1
SCANIT_emb_seed5,0.5578699007164687,SCANIT,seed5,3
SCANIT_emb_seed5,0.5610619777192672,SCANIT,seed5,4
SCANIT_emb_seed5,0.574215174963077,SCANIT,seed5,2
SCANIT_emb_seed5,0.5363536236497263,SCANIT,seed5,5
SpaceFlow_emb_seed1,0.5494650225543106,SpaceFlow,seed1,4
SpaceFlow_emb_seed1,0.5637904244164625,SpaceFlow,seed1,2
SpaceFlow_emb_seed1,0.5682476566483577,SpaceFlow,seed1,1
SpaceFlow_emb_seed1,0.5552719921494523,SpaceFlow,seed1,5
SpaceFlow_emb_seed1,0.55225222511217,SpaceFlow,seed1,3
SpaceFlow_emb_seed2,0.5481354389339685,SpaceFlow,seed2,3
SpaceFlow_emb_seed2,0.5289114798069932,SpaceFlow,seed2,4
SpaceFlow_emb_seed2,0.5702112770328919,SpaceFlow,seed2,1
SpaceFlow_emb_seed2,0.5514804781414568,SpaceFlow,seed2,5
SpaceFlow_emb_seed2,0.5673672060171763,SpaceFlow,seed2,2
SpaceFlow_emb_seed3,0.571773037314415,SpaceFlow,seed3,2
SpaceFlow_emb_seed3,0.5673957508988678,SpaceFlow,seed3,5
SpaceFlow_emb_seed3,0.5277224502060562,SpaceFlow,seed3,4
SpaceFlow_emb_seed3,0.568930538992087,SpaceFlow,seed3,1
SpaceFlow_emb_seed3,0.5557633010515323,SpaceFlow,seed3,3
SpaceFlow_emb_seed4,0.563853321907421,SpaceFlow,seed4,3
SpaceFlow_emb_seed4,0.5488167914251486,SpaceFlow,seed4,5
SpaceFlow_emb_seed4,0.5691209261616071,SpaceFlow,seed4,2
SpaceFlow_emb_seed4,0.5358065206091851,SpaceFlow,seed4,4
SpaceFlow_emb_seed4,0.5670419530943036,SpaceFlow,seed4,1
SpaceFlow_emb_seed5,0.566508716593186,SpaceFlow,seed5,2
SpaceFlow_emb_seed5,0.546499413282921,SpaceFlow,seed5,5
SpaceFlow_emb_seed5,0.5525010851367066,SpaceFlow,seed5,3
SpaceFlow_emb_seed5,0.5638967671742042,SpaceFlow,seed5,1
SpaceFlow_emb_seed5,0.5384622615626237,SpaceFlow,seed5,4
SPIN_emb_seed1,0.5223492794721096,SPIN,seed1,3
SPIN_emb_seed1,0.5216841169943413,SPIN,seed1,4
SPIN_emb_seed1,0.5479501703133186,SPIN,seed1,1
SPIN_emb_seed1,0.5344350775703788,SPIN,seed1,5
SPIN_emb_seed1,0.5448342605183522,SPIN,seed1,2
SPIN_emb_seed2,0.5343781718984246,SPIN,seed2,5
SPIN_emb_seed2,0.5452080288281044,SPIN,seed2,2
SPIN_emb_seed2,0.5220606529425519,SPIN,seed2,3
SPIN_emb_seed2,0.5215247897431254,SPIN,seed2,4
SPIN_emb_seed2,0.5482285240044197,SPIN,seed2,1
SPIN_emb_seed3,0.5227398509450722,SPIN,seed3,3
SPIN_emb_seed3,0.5445915671686331,SPIN,seed3,2
SPIN_emb_seed3,0.5210934250305096,SPIN,seed3,4
SPIN_emb_seed3,0.534563846886158,SPIN,seed3,5
SPIN_emb_seed3,0.5479471938063701,SPIN,seed3,1
SPIN_emb_seed4,0.5447027310729027,SPIN,seed4,2
SPIN_emb_seed4,0.5237531755895665,SPIN,seed4,4
SPIN_emb_seed4,0.5228627354760343,SPIN,seed4,3
SPIN_emb_seed4,0.5345903397537768,SPIN,seed4,5
SPIN_emb_seed4,0.5473764060686032,SPIN,seed4,1
SPIN_emb_seed5,0.5453450710823139,SPIN,seed5,2
SPIN_emb_seed5,0.5481698407481114,SPIN,seed5,1
SPIN_emb_seed5,0.5340166529640555,SPIN,seed5,5
SPIN_emb_seed5,0.521971755544655,SPIN,seed5,3
SPIN_emb_seed5,0.5212681327636043,SPIN,seed5,4
