Gene,Model_1,Model_2,KS_statistic,p_value
CD19,Glimmer (Cell),Baysor (NCV),0.5833333333333334,1.195509647949155e-09
CD19,Glimmer (Cell),Cellpose,0.5244369369369369,2.9428260262476634e-12
CD19,Glimmer (Cell),Xenium,0.5875,5.685431814045132e-14
CD19,Glimmer (Cell),FICTURE (Hexagon),1.0,9.094811902014964e-35
CD19,Glimmer (Bin),Baysor (NCV),0.5069444444444444,2.72890196823652e-07
CD19,Glimmer (Bin),Cellpose,0.4474099099099099,6.159674602876335e-09
CD19,Glimmer (Bin),Xenium,0.5159090909090909,1.0083631717680664e-10
CD19,Glimmer (Bin),FICTURE (Hexagon),0.9875,4.183613474926884e-33
CD3E,Glimmer (Cell),Baysor (NCV),0.75,1.7950123266404257e-16
CD3E,Glimmer (Cell),Cellpose,0.8639639639639639,1.3859476553191708e-36
CD3E,Glimmer (Cell),Xenium,0.8556818181818182,5.572831587261433e-32
CD3E,Glimmer (Cell),FICTURE (Hexagon),0.975,1.0540886994435347e-31
CD3E,Glimmer (Bin),Baysor (NCV),0.7125,1.0680602354081086e-14
CD3E,Glimmer (Bin),Cellpose,0.824436936936937,1.3464166984882522e-32
CD3E,Glimmer (Bin),Xenium,0.8431818181818181,7.215863494673841e-31
CD3E,Glimmer (Bin),FICTURE (Hexagon),0.975,1.0540886994435347e-31
MS4A1,Glimmer (Cell),Baysor (NCV),0.7208333333333333,4.634274770377788e-15
MS4A1,Glimmer (Cell),Cellpose,0.903490990990991,4.351976356441791e-41
MS4A1,Glimmer (Cell),Xenium,0.9647727272727272,3.8995376237171265e-44
MS4A1,Glimmer (Cell),FICTURE (Hexagon),0.9875,4.183613474926884e-33
MS4A1,Glimmer (Bin),Baysor (NCV),0.6583333333333333,2.108295516811395e-12
MS4A1,Glimmer (Bin),Cellpose,0.854954954954955,1.2613090604337196e-35
MS4A1,Glimmer (Bin),Xenium,0.9272727272727272,2.5785231637571027e-39
MS4A1,Glimmer (Bin),FICTURE (Hexagon),0.9875,4.183613474926884e-33
TRAC,Glimmer (Cell),Baysor (NCV),0.75,1.7950123266404257e-16
TRAC,Glimmer (Cell),Cellpose,0.9354729729729729,5.024353389679775e-45
TRAC,Glimmer (Cell),Xenium,0.9068181818181819,2.4777839836894762e-37
TRAC,Glimmer (Cell),FICTURE (Hexagon),0.975,1.0540886994435347e-31
TRAC,Glimmer (Bin),Baysor (NCV),0.6805555555555556,2.584778964500948e-13
TRAC,Glimmer (Bin),Cellpose,0.917454954954955,1.3166804463201169e-42
TRAC,Glimmer (Bin),Xenium,0.8943181818181818,6.785667873867786e-36
TRAC,Glimmer (Bin),FICTURE (Hexagon),0.975,1.0540886994435347e-31
